時間戳記,檔案版本,暱稱,縣市區,路名（區域）,數量,派送時間,發送狀況,備註,已整理過請打勾
2014/4/6 下午 3:23:01,漫畫圖解服貿,Isotope Kao,0406新莊樹林小蜜蜂-樹林火車站前、後，菜市場攤販、店家,樹林火車站前、後，菜市場攤販、店家,250, 04/06/2014,有遇到不認同的民眾，但也只是將文宣還給我而已。攤販、店家對我們的行動大部分是支持的，還有大姐追過來送我們飲料。發放的時候可以花一點時間跟阿姨叔叔聊一聊（不過我不管年紀都叫大哥大姐），請他們幫忙宣傳，遇到好多叔叔阿姨叫我們加油。,,ｖ
2014/4/6 下午 7:08:18,Bee140405,Eric Yeh,桃園縣觀音鄉草漯村,四維二街、三街、大觀路二段171~201號,180,04/06/2014,正常,,ｖ
2014/4/6 下午 7:26:50,bee140405,van,臺北市信義區,吳興街600巷76弄,100,04/06/2014,丟入信箱,,ｖ
2014/4/6 下午 7:32:13,Bee140405,黑暗騎士小蜜蜂,台北市信義區,永吉路278巷47弄~虎林街120巷,200,04/06/14,半夜發放，以投信箱為主，時間還不夠晚所以有遇到一些出來抽菸的人，就避開,"(1) 公寓門口會貼大台北瓦斯住戶自行填表單，如果沒打勾表示沒住人，就不用發放囉～
(2) 半夜發放建議結伴同行比較有照應
",ｖ
2014/4/6 下午 8:16:55,Bee140405,春蜂吹又生,台北市大同區,酒泉街10巷到承德路三段225巷,50,04/06/2014,把昨天剰的在住家樓下發，塞信箱一下子就發完了。,,v
2014/4/6 下午 8:18:36,服貿如何影響我們的醫療業,阿囧,新北市汐止區,水源路二段85號到120號,60,04/06/2014,"順利，發放到信箱和雜貨店
我有自己加上一句〝如果你同意，可以發給一位朋友，如果你強烈同意，可以影印發給同一棟公寓的鄰居，如果你不同意，可以拿著這張宣傳和朋友討論，因為台灣需要各種聲音豐富她的內涵〞",在汐科火車站北站機車停車場看到很多張昨天和今天早上夾在機車上的Bee140405掉在地上，有點傷心，希望只是因為今天風大而吹落的,v
2014/4/6 下午 8:22:46,自己畫了小紙條,,桃園,大溪埔頂莉莉公寓,1,4/6/2014,"吃完飯之後，畫了一張「工作辛苦了」的台灣黑熊小紙條，背面寫一些服貿相關的事項。
店家看到後的結果不知道，因為吃完就走了。
覺得會畫畫的人這樣做可能會更容易引人注意吧？畢竟這類的小紙條要丟也不會馬上丟掉。",,v
2014/4/6 下午 8:54:40,醫療服貿A版B版,阿啾,高雄市,吉林街245巷和合江街13巷和瀋陽街173巷171巷和松江街,150,04/06/2014,很快就發完了XDD,還好，看到會叫的狗有點害怕。,v
2014/4/6 下午 9:14:08,服貿如何影響我們的醫療業,阿藍阿啾小蜜蜂,高雄市三民區,吉林街245巷和合江街13巷和瀋陽街173巷171巷和松江街,150,04/06/2014,很快就發完了XDD　（不好意思，請更正上篇）,還好，看到會叫的狗有點害怕。,v
2014/4/6 下午 9:31:36,（漫畫版）爲何要先立法再審查？,Olga&Pow,台北市文山區,福興路一帶到辛亥路四段,600,4/6/2014,"假日 純住宅區
大多投信箱","看到一般中小型的公司 診所類的招牌，必發！

",v
2014/4/6 下午 9:48:39,Bee140405,自己國家自己救,雲林縣斗六市,斗六火車站,800,4/6/2014,比昨天多的印了很多，也很順利在下午發送完畢，中途有等車民眾自願幫忙發，還有大叔教我們發傳單的技巧,,v
2014/4/6 下午 9:59:54,Bee140405,silentbee,新竹市,民有二街一帶,100,04/06/2014,順利,小心兇惡家犬,v
2014/4/6 下午 10:06:18,Bee140405、政府&民間版本監督條例比較(台大新聞E論壇),cacabeast,台北市士林區,"士東路120巷、忠誠路2段50, 70, 76巷",250,04/06/2014,有信箱就投！巷弄內住家必佔領！,有些信箱塞了很多垃圾= =,v
2014/4/6 下午 10:11:22,Bee140405,嗡,新北市三峽區,學成路260號至278號,100,04/06/2014,放在機車前座置物格(摺四折),,v
2014/4/6 下午 10:17:47,Bee140405,Fish蜂,台中市,雷中街 大德國中附近,150,4/6/2014,"丟信箱，如遇到街坊鄰居，就把傳單發給他們，請對方參考看看。
大致上OK，下次應該會再印多一點，單純丟信箱的話很快就發完了。",被狗嚇到XDD (大家好像都這樣?! XD,v
2014/4/6 下午 10:40:02,Bee140405,蜂起了，唯有努力試著生存,高雄市,前金區，北金里文武一街末段(東隆宮)，沿路至七賢路右轉(丹丹側),50,4/6/2014,清晨發放，一路順暢,"附近有多棟大樓，但因未跟管理員打交道，加上有些大樓樓層並未有人住，因此決定發放透天住家，大家加油啊!!!!!!
有情有義高雄人出動啦!!!!",v
2014/4/6 下午 10:40:11,圖解服貿+醫療服貿+服貿反不反(黑熊底),大黃蜂,新北中和,台灣圖書館門口有發給路人一些，永安市場站對面的水源街以南以北大約一個block的巷弄都有投信箱,總共300分,4/6/2014,順利XD,住戶密度很高，感覺圖解服貿最沒有侵略性最好用，如果搭配醫療篇(有恐嚇效果XD)更好，晚上的巷弄建議兩人同行，如果有人一直看你就拿出手機假裝在找人XD,v
2014/4/6 下午 10:57:25,小蜜蜂v20140405.pdf,Leo Yu,新北市板橋區,府中路 南門街到文昌街,100,4/7~8/2014,預計7、8號發放，沿街信箱發放。,,v
2014/4/6 下午 11:46:32,Bee140405B-W,淡水蜜蜂,淡水區,泰隆社區30巷的社區、泰隆社區第二社區、池上飯包(鄧公國小旁)、夥伴咖啡、甲子園擺文宣、學府路的金順發、彩卷行擺文宣&日聖診所旁的住宅信箱,650,04/06/2014,"若是投信，5 6百張一下就發光了(根本不夠用~~)
找店家擺放文宣可以擺彩卷行那邊最多老人家了!!",,v
2014/4/6 下午 11:57:40,BEE140405黑白,烏龜,台北市文山區,木新路三段50巷至74巷,50,04/06/2014,,,v
2014/4/7 上午 12:01:02,服貿你服不服,游擊大黃蜂,台北信義大安,市府站忠孝東路上+松菸周邊與園區內+華山園區內,200,4/5/2014,"***全部都是發給路人***
市府站外可以發給在等公車的人，松菸與華山內強烈建議發給坐著休息的人!",1.在市府站外發給路人時，當天的經驗是大概一半會拿一半不拿，感覺蠻多是知道服貿新聞很煩但一點都不想看的人T_T 也有朋友被人指著鼻子罵笨蛋，建議強心臟的戰神多多挑戰。2.松菸跟華山的open space很多，建議牙一咬就一路發給坐著休息的人們，接手率很高，至於行進間的路人就要碰運氣，如果連續被拒絕三次就趕快換地方:),v
2014/4/7 上午 12:18:16,Bee140405,小涼,新北市板橋區,裕民街、長江路一帶,300,4/9/2014,"預計4/9星期二發送
附近有菜市場也會去發一下",,v
2014/4/7 上午 12:19:05,Bee140405,屁股刺刺,台北市內湖區,成功路五段,500,04/06/2014,"良好，大湖區住戶多，
夜晚街上安靜人少，
非常適合發信箱。",,v
2014/4/7 上午 12:39:56,馬政府正在騙我們的事,YU,台北市內湖區,文德路210巷,100,2014/4/6,前兩天就印了這份去西門町發，所以把剩下的拿來投鄰居信箱。(後來聽說西門町很多大陸人，大家如果要上街發請小心！),,v
2014/4/7 上午 12:45:38,Bee140405B-W.pdf,Gason,新竹縣芎林鄉,三民路整個社區,300份,2014/04/06,"郵箱投遞, 沒啥大問題","晚上大家都睡覺, 鄉下地方要擔心有沒有狗追出來, 其他還好~",v
2014/4/7 上午 1:22:04,Bee140405,男人中的男人中的男人,桃園縣中壢市,中園路45巷、中園路57巷,100,04/07/2014,"00:00左右
僅投信箱",,v
2014/4/7 上午 1:48:11,Bee140405,阿森的媽,台中市豐原區,南陽路到南陽新村,約150張,4/6/14,,有的住戶不設信箱，需多花心思讓傳單夾在顯眼處,v
2014/4/7 上午 5:58:08,Bee140405B-W.pdf,如如,北市中正大安區,南海路至羅斯福路二三段,50,4/6/14,住戶店家皆發送,,v
2014/4/7 上午 6:00:37,台大新聞E論壇4/3民間版與行政院版監督條例差異比較表,如如,北市中正區,羅斯福路二三四五段,100,4/6~8/14,投住戶信箱  預計晚間至中正紀念堂或古亭捷運站發送,,v
2014/4/7 上午 10:00:42,Bee140405B-W+醫療,暗魔蚌,嘉義縣朴子市,長庚科大班級信箱+朴子市市區,100,4/7/2014,主要是丟信箱及早餐店老闆及路邊阿婆,"一位阿婆問我有沒有錢拿，我說這都是自己出錢出力來發的，他說""就甘心喔~""",v
2014/4/7 上午 10:49:10,Bee140405,crystal,台中市豐原區,南陽國小附近,110分,04/06/103,塞信箱 順利發完! 回程還看到有人拿起來認真看!!,"建議信箱內若是塞了很多廣告單就不要塞了
還有夾車窗也不錯!!",v
